version = 6
CPU 0 is empty
CPU 2 is empty
CPU 3 is empty
CPU 4 is empty
CPU 5 is empty
CPU 6 is empty
CPU 8 is empty
CPU 9 is empty
CPU 11 is empty
cpus=12
       trace-cmd-8375  [007]  1843.571684: funcgraph_entry:      + 17.685 us  |  zpl_show_options();
              dd-8376  [010]  1843.572917: funcgraph_exit:         2.196 us   |                        }
              dd-8376  [010]  1843.572918: funcgraph_entry:        0.417 us   |                        dmu_tx_pool();
              dd-8376  [010]  1843.572918: funcgraph_entry:        0.506 us   |                        dsl_pool_dirty_space();
              dd-8376  [010]  1843.572919: funcgraph_entry:        0.403 us   |                        dmu_tx_willuse_space();
              dd-8376  [010]  1843.572920: funcgraph_exit:         6.463 us   |                      }
              dd-8376  [010]  1843.572921: funcgraph_entry:                   |                      dsl_dataset_block_freeable() {
              dd-8376  [010]  1843.572921: funcgraph_entry:                   |                        dsl_dataset_prev_snap_txg() {
              dd-8376  [010]  1843.572922: funcgraph_entry:        0.410 us   |                          spa_last_synced_txg();
              dd-8376  [010]  1843.572922: funcgraph_exit:         1.234 us   |                        }
              dd-8376  [010]  1843.572923: funcgraph_entry:        0.940 us   |                        ddt_prefetch();
              dd-8376  [010]  1843.572924: funcgraph_exit:         3.402 us   |                      }
              dd-8376  [010]  1843.572925: funcgraph_entry:        0.467 us   |                      dmu_buf_add_ref();
              dd-8376  [010]  1843.572926: funcgraph_entry:                   |                      bp_get_dsize() {
              dd-8376  [010]  1843.572926: funcgraph_entry:        0.509 us   |                        spa_config_enter();
